trip_ref,legacy_trip_id,legacy_day_id,day_index,date_when,legacy_index
legacy_trip_446,446,2885,0,2014-07-26,0
legacy_trip_446,446,2886,1,2014-07-27,1
legacy_trip_447,447,2887,0,2012-08-25,0
legacy_trip_447,447,2888,1,2012-08-26,1
legacy_trip_450,450,2903,0,2014-08-30,0
legacy_trip_450,450,2904,1,2014-08-31,1
legacy_trip_450,450,2905,2,2014-09-01,2
legacy_trip_450,450,2906,3,2014-09-02,3
legacy_trip_450,450,2907,4,2014-09-03,4
legacy_trip_450,450,2908,5,2014-09-04,5
legacy_trip_450,450,2909,6,2014-09-05,6
legacy_trip_450,450,2910,7,2014-09-06,7
legacy_trip_450,450,2911,8,2014-09-07,8
legacy_trip_450,450,2912,9,2014-09-08,9
legacy_trip_450,450,2913,10,2014-09-09,10
legacy_trip_450,450,2914,11,2014-09-10,11
legacy_trip_450,450,2915,12,2014-09-11,12
legacy_trip_450,450,2916,13,2014-09-12,13
legacy_trip_450,450,2917,14,2014-09-13,14
legacy_trip_450,450,2918,15,2014-09-14,15
legacy_trip_450,450,2919,16,2014-09-15,16
legacy_trip_451,451,2920,0,2014-12-30,0
legacy_trip_451,451,2921,1,2014-12-31,1
legacy_trip_451,451,2922,2,2015-01-01,2
legacy_trip_451,451,2923,3,2015-01-02,3
legacy_trip_451,451,2924,4,2015-01-03,4
legacy_trip_451,451,2925,5,2015-01-04,5
legacy_trip_451,451,2926,6,2015-01-05,6
legacy_trip_451,451,2927,7,2015-01-06,7
legacy_trip_451,451,2928,8,2015-01-07,8
legacy_trip_451,451,2929,9,2015-01-08,9
legacy_trip_451,451,2930,10,2015-01-09,10
legacy_trip_452,452,2931,0,2014-05-16,0
legacy_trip_452,452,2932,1,2014-05-17,1
legacy_trip_452,452,2933,2,2014-05-18,2
legacy_trip_453,453,2934,0,2014-10-31,0
legacy_trip_453,453,2935,1,2014-11-01,1
legacy_trip_453,453,2936,2,2014-11-02,2
legacy_trip_453,453,2937,3,2014-11-03,3
legacy_trip_453,453,2938,4,2014-11-04,4
legacy_trip_454,454,2939,0,2012-05-13,0
legacy_trip_454,454,2940,1,2012-05-14,1
legacy_trip_454,454,2941,2,2012-05-15,2
legacy_trip_454,454,2942,3,2012-05-16,3
legacy_trip_454,454,2943,4,2012-05-17,4
legacy_trip_454,454,2944,5,2012-05-18,5
legacy_trip_454,454,2945,6,2012-05-19,6
legacy_trip_454,454,2946,7,2012-05-20,7
legacy_trip_454,454,2947,8,2012-05-21,8
legacy_trip_455,455,2948,0,2012-10-06,0
legacy_trip_455,455,2949,1,2012-10-07,1
legacy_trip_455,455,2950,2,2012-10-08,2
legacy_trip_455,455,2951,3,2012-10-09,3
legacy_trip_455,455,2952,4,2012-10-10,4
legacy_trip_455,455,2953,5,2012-10-11,5
legacy_trip_455,455,2954,6,2012-10-12,6
legacy_trip_455,455,2955,7,2012-10-13,7
legacy_trip_455,455,2956,8,2012-10-14,8
legacy_trip_456,456,2957,0,2014-05-03,0
legacy_trip_456,456,2958,1,2014-05-04,1
legacy_trip_456,456,2959,2,2014-05-05,2
legacy_trip_456,456,2960,3,2014-05-06,3
legacy_trip_456,456,2961,4,2014-05-07,4
legacy_trip_456,456,2962,5,2014-05-08,5
legacy_trip_456,456,2963,6,2014-05-09,6
legacy_trip_456,456,2964,7,2014-05-10,7
legacy_trip_458,458,2975,0,2013-04-21,0
legacy_trip_458,458,2976,1,2013-04-22,1
legacy_trip_458,458,2977,2,2013-04-23,2
legacy_trip_458,458,2978,3,2013-04-24,3
legacy_trip_458,458,2979,4,2013-04-25,4
legacy_trip_458,458,2980,5,2013-04-26,5
legacy_trip_458,458,2981,6,2013-04-27,6
legacy_trip_458,458,2982,7,2013-04-28,7
legacy_trip_458,458,2983,8,2013-04-29,8
legacy_trip_458,458,2984,9,2013-04-30,9
legacy_trip_458,458,2985,10,2013-05-01,10
legacy_trip_458,458,2986,11,2013-05-02,11
legacy_trip_458,458,2987,12,2013-05-03,12
legacy_trip_463,463,3039,0,2015-05-14,0
legacy_trip_463,463,3040,1,2015-05-15,1
legacy_trip_463,463,3041,2,2015-05-16,2
legacy_trip_463,463,3042,3,2015-05-17,3
legacy_trip_467,467,3085,0,2016-11-19,0
legacy_trip_468,468,3087,0,2015-08-31,0
legacy_trip_468,468,3088,1,2015-09-01,1
legacy_trip_468,468,3089,2,2015-09-02,2
legacy_trip_468,468,3090,3,2015-09-03,3
legacy_trip_470,470,3099,0,2013-05-09,0
legacy_trip_470,470,3100,1,2013-05-10,1
legacy_trip_470,470,3101,2,2013-05-11,2
legacy_trip_470,470,3102,3,2013-05-12,3
legacy_trip_471,471,3103,0,2013-10-28,0
legacy_trip_471,471,3104,1,2013-10-29,1
legacy_trip_471,471,3105,2,2013-10-30,2
legacy_trip_471,471,3106,3,2013-10-31,3
legacy_trip_471,471,3107,4,2013-11-01,4
legacy_trip_471,471,3108,5,2013-11-02,5
legacy_trip_471,471,3109,6,2013-11-03,6
legacy_trip_471,471,3110,7,2013-11-04,7
legacy_trip_471,471,3111,8,2013-11-05,8
legacy_trip_471,471,3112,9,2013-11-06,9
legacy_trip_471,471,3113,10,2013-11-07,10
legacy_trip_471,471,3114,11,2013-11-08,11
legacy_trip_471,471,3115,12,2013-11-09,12
legacy_trip_471,471,3116,13,2013-11-10,13
legacy_trip_473,473,3133,0,2015-08-22,0
legacy_trip_475,475,3143,0,2016-08-20,0
legacy_trip_475,475,3144,1,2016-08-21,1
legacy_trip_475,475,3145,2,2016-08-22,2
legacy_trip_475,475,3146,3,2016-08-23,3
legacy_trip_475,475,3147,4,2016-08-24,4
legacy_trip_475,475,3149,5,2016-08-25,5
legacy_trip_475,475,3148,6,2016-08-26,6
legacy_trip_475,475,3150,7,2016-08-27,7
legacy_trip_476,476,3152,0,2016-01-02,0
legacy_trip_476,476,3153,1,2016-01-03,1
legacy_trip_476,476,3154,2,2016-01-04,2
legacy_trip_476,476,3155,3,2016-01-05,3
legacy_trip_476,476,3156,4,2016-01-06,4
legacy_trip_476,476,3157,5,2016-01-07,5
legacy_trip_476,476,3158,6,2016-01-08,6
legacy_trip_476,476,3159,7,2016-01-09,7
legacy_trip_476,476,3160,8,2016-01-10,8
legacy_trip_477,477,3161,0,2016-06-24,0
legacy_trip_477,477,3162,1,2016-06-25,1
legacy_trip_477,477,3163,2,2016-06-26,2
legacy_trip_477,477,3165,3,2016-06-27,3
legacy_trip_477,477,3164,4,2016-06-28,4
legacy_trip_477,477,3166,5,2016-06-29,5
legacy_trip_477,477,3173,6,2016-06-30,6
legacy_trip_477,477,3168,7,2016-07-01,7
legacy_trip_477,477,3167,8,2016-07-02,8
legacy_trip_477,477,3169,9,2016-07-03,9
legacy_trip_477,477,3200,10,2016-07-04,10
legacy_trip_477,477,3199,11,2016-07-05,11
legacy_trip_477,477,3201,12,2016-07-06,12
legacy_trip_478,478,3174,0,2015-10-31,0
legacy_trip_479,479,3175,0,2015-12-05,0
legacy_trip_481,481,3177,0,2016-04-02,0
legacy_trip_486,486,3183,0,2015-11-26,0
legacy_trip_487,487,3184,0,2016-08-06,0
legacy_trip_496,496,3253,0,2016-05-14,0
legacy_trip_496,496,3255,1,2016-05-15,1
legacy_trip_496,496,3254,2,2016-05-16,2
legacy_trip_496,496,3256,3,2016-05-17,3
legacy_trip_498,498,3258,0,2016-10-01,0
legacy_trip_498,498,3260,1,2016-10-02,1
legacy_trip_498,498,3261,2,2016-10-03,2
legacy_trip_498,498,3262,3,2016-10-04,3
legacy_trip_498,498,3259,4,2016-10-05,4
legacy_trip_498,498,3263,5,2016-10-06,5
legacy_trip_498,498,3264,6,2016-10-07,6
legacy_trip_498,498,3265,7,2016-10-08,7
legacy_trip_498,498,3266,8,2016-10-09,8
legacy_trip_498,498,3267,9,2016-10-10,9
legacy_trip_499,499,3268,0,2016-09-03,0
legacy_trip_499,499,3269,1,2016-09-04,1
legacy_trip_499,499,3270,2,2016-09-05,2
legacy_trip_499,499,3271,3,2016-09-06,3
legacy_trip_499,499,3272,4,2016-09-07,4
legacy_trip_499,499,3273,5,2016-09-08,5
legacy_trip_499,499,3274,6,2016-09-09,6
legacy_trip_499,499,3275,7,2016-09-10,7
legacy_trip_504,504,3304,0,2016-10-21,0
legacy_trip_504,504,3305,1,2016-10-22,1
legacy_trip_504,504,3306,2,2016-10-23,2
legacy_trip_505,505,3307,0,2017-07-30,0
legacy_trip_507,507,3316,0,2017-01-21,0
legacy_trip_507,507,3317,1,2017-01-22,1
legacy_trip_508,508,3319,0,2017-03-27,0
legacy_trip_508,508,3318,1,2017-03-28,1
legacy_trip_508,508,3320,2,2017-03-29,2
legacy_trip_508,508,3322,3,2017-03-30,3
legacy_trip_509,509,3327,0,2021-09-07,0
legacy_trip_509,509,3329,1,2021-09-08,1
legacy_trip_509,509,3330,2,2021-09-09,2
legacy_trip_509,509,3335,3,2021-09-10,3
legacy_trip_509,509,3387,4,2021-09-11,4
legacy_trip_509,509,3447,5,2021-09-12,5
legacy_trip_509,509,3448,6,2021-09-13,6
legacy_trip_509,509,3449,7,2021-09-14,7
legacy_trip_511,511,3352,0,2017-05-28,0
legacy_trip_512,512,3353,0,2017-06-17,0
legacy_trip_512,512,3354,1,2017-06-18,1
legacy_trip_512,512,3355,2,2017-06-19,2
legacy_trip_512,512,3357,3,2017-06-20,3
legacy_trip_512,512,3359,4,2017-06-21,4
legacy_trip_512,512,3360,5,2017-06-22,5
legacy_trip_513,513,3361,0,2017-05-21,0
legacy_trip_513,513,3362,1,2017-05-22,1
legacy_trip_515,515,3364,0,2024-04-27,0
legacy_trip_516,516,3365,0,2017-07-09,0
legacy_trip_519,519,3370,0,2024-05-18,0
legacy_trip_519,519,3677,1,2024-05-19,1
legacy_trip_519,519,3678,2,2024-05-20,2
legacy_trip_523,523,3376,0,2019-05-16,0
legacy_trip_523,523,3377,1,2019-05-17,1
legacy_trip_523,523,3378,2,2019-05-18,2
legacy_trip_523,523,3388,3,2019-05-19,3
legacy_trip_526,526,3390,0,2019-01-13,0
legacy_trip_526,526,3391,1,2019-01-14,1
legacy_trip_526,526,3392,2,2019-01-15,2
legacy_trip_526,526,3393,3,2019-01-16,3
legacy_trip_526,526,3394,4,2019-01-17,4
legacy_trip_526,526,3395,5,2019-01-18,5
legacy_trip_526,526,3396,6,2019-01-19,6
legacy_trip_526,526,3397,7,2019-01-20,7
legacy_trip_526,526,3398,8,2019-01-21,8
legacy_trip_526,526,3399,9,2019-01-22,9
legacy_trip_526,526,3400,10,2019-01-23,10
legacy_trip_526,526,3401,11,2019-01-24,11
legacy_trip_526,526,3402,12,2019-01-25,12
legacy_trip_527,527,3403,0,2020-01-17,0
legacy_trip_527,527,3404,1,2020-01-18,1
legacy_trip_527,527,3405,2,2020-01-19,2
legacy_trip_527,527,3406,3,2020-01-20,3
legacy_trip_527,527,3407,4,2020-01-21,4
legacy_trip_527,527,3408,5,2020-01-22,5
legacy_trip_527,527,3409,6,2020-01-23,6
legacy_trip_527,527,3410,7,2020-01-24,7
legacy_trip_527,527,3411,8,2020-01-25,8
legacy_trip_528,528,3412,0,2020-02-24,0
legacy_trip_528,528,3413,1,2020-02-25,1
legacy_trip_528,528,3414,2,2020-02-26,2
legacy_trip_528,528,3415,3,2020-02-27,3
legacy_trip_529,529,3417,0,2022-08-12,0
legacy_trip_529,529,3418,1,2022-08-13,1
legacy_trip_531,531,3425,0,2021-07-13,0
legacy_trip_531,531,3426,1,2021-07-14,1
legacy_trip_531,531,3427,2,2021-07-15,2
legacy_trip_531,531,3428,3,2021-07-16,3
legacy_trip_531,531,3429,4,2021-07-17,4
legacy_trip_531,531,3430,5,2021-07-18,5
legacy_trip_531,531,3431,6,2021-07-19,6
legacy_trip_531,531,3432,7,2021-07-20,7
legacy_trip_531,531,3433,8,2021-07-21,8
legacy_trip_534,534,3457,0,2021-12-17,0
legacy_trip_534,534,3458,1,2021-12-18,1
legacy_trip_534,534,3459,2,2021-12-19,2
legacy_trip_534,534,3460,3,2021-12-20,3
legacy_trip_535,535,3461,0,2023-07-26,0
legacy_trip_535,535,3462,1,2023-07-27,1
legacy_trip_535,535,3463,2,2023-07-28,2
legacy_trip_535,535,3464,3,2023-07-29,3
legacy_trip_535,535,3465,4,2023-07-30,4
legacy_trip_535,535,3466,5,2023-07-31,5
legacy_trip_535,535,3467,6,2023-08-01,6
legacy_trip_535,535,3468,7,2023-08-02,7
legacy_trip_535,535,3494,8,2023-08-03,8
legacy_trip_535,535,3495,9,2023-08-04,9
legacy_trip_536,536,3470,0,2021-11-12,0
legacy_trip_537,537,3472,0,2022-02-17,0
legacy_trip_537,537,3473,1,2022-02-18,1
legacy_trip_537,537,3474,2,2022-02-19,2
legacy_trip_538,538,3475,0,2025-05-23,0
legacy_trip_538,538,3476,1,2025-05-24,1
legacy_trip_538,538,3477,2,2025-05-25,2
legacy_trip_539,539,3480,0,2022-04-07,0
legacy_trip_539,539,3481,1,2022-04-08,1
legacy_trip_539,539,3482,2,2022-04-09,2
legacy_trip_539,539,3483,3,2022-04-10,3
legacy_trip_540,540,3484,0,2022-05-25,0
legacy_trip_540,540,3485,1,2022-05-26,1
legacy_trip_540,540,3486,2,2022-05-27,2
legacy_trip_540,540,3487,3,2022-05-28,3
legacy_trip_540,540,3488,4,2022-05-29,4
legacy_trip_540,540,3493,5,2022-05-30,5
legacy_trip_541,541,3489,0,2024-03-28,0
legacy_trip_541,541,3490,1,2024-03-29,1
legacy_trip_541,541,3491,2,2024-03-30,2
legacy_trip_541,541,3675,3,2024-03-31,3
legacy_trip_541,541,3676,4,2024-04-01,4
legacy_trip_543,543,3502,0,2022-06-17,0
legacy_trip_543,543,3503,1,2022-06-18,1
legacy_trip_543,543,3504,2,2022-06-19,2
legacy_trip_543,543,3505,3,2022-06-20,3
legacy_trip_544,544,3506,0,2022-07-16,0
legacy_trip_544,544,3507,1,2022-07-17,1
legacy_trip_544,544,3508,2,2022-07-18,2
legacy_trip_544,544,3509,3,2022-07-19,3
legacy_trip_544,544,3510,4,2022-07-20,4
legacy_trip_544,544,3511,5,2022-07-21,5
legacy_trip_544,544,3512,6,2022-07-22,6
legacy_trip_544,544,3513,7,2022-07-23,7
legacy_trip_545,545,3514,0,2022-09-17,0
legacy_trip_545,545,3515,1,2022-09-18,1
legacy_trip_546,546,3516,0,2023-04-07,0
legacy_trip_546,546,3517,1,2023-04-08,1
legacy_trip_546,546,3518,2,2023-04-09,2
legacy_trip_546,546,3519,3,2023-04-10,3
legacy_trip_547,547,3520,0,2022-10-01,0
legacy_trip_547,547,3521,1,2022-10-02,1
legacy_trip_547,547,3522,2,2022-10-03,2
legacy_trip_547,547,3523,3,2022-10-04,3
legacy_trip_547,547,3524,4,2022-10-05,4
legacy_trip_547,547,3525,5,2022-10-06,5
legacy_trip_547,547,3526,6,2022-10-07,6
legacy_trip_547,547,3527,7,2022-10-08,7
legacy_trip_547,547,3528,8,2022-10-09,8
legacy_trip_547,547,3529,9,2022-10-10,9
legacy_trip_549,549,3538,0,2022-12-29,0
legacy_trip_549,549,3539,1,2022-12-30,1
legacy_trip_549,549,3540,2,2022-12-31,2
legacy_trip_549,549,3541,3,2023-01-01,3
legacy_trip_549,549,3542,4,2023-01-02,4
legacy_trip_550,550,3543,0,2022-11-26,0
legacy_trip_550,550,3544,1,2022-11-27,1
legacy_trip_550,550,3545,2,2022-11-28,2
legacy_trip_551,551,3546,0,2022-08-12,0
legacy_trip_551,551,3547,1,2022-08-13,1
legacy_trip_551,551,3548,2,2022-08-14,2
legacy_trip_552,552,3549,0,2023-02-01,0
legacy_trip_552,552,3550,1,2023-02-02,1
legacy_trip_552,552,3551,2,2023-02-03,2
legacy_trip_552,552,3552,3,2023-02-04,3
legacy_trip_552,552,3553,4,2023-02-05,4
legacy_trip_552,552,3554,5,2023-02-06,5
legacy_trip_552,552,3555,6,2023-02-07,6
legacy_trip_552,552,3556,7,2023-02-08,7
legacy_trip_552,552,3557,8,2023-02-09,8
legacy_trip_552,552,3558,9,2023-02-10,9
legacy_trip_552,552,3559,10,2023-02-11,10
legacy_trip_552,552,3560,11,2023-02-12,11
legacy_trip_554,554,3565,0,2023-09-29,0
legacy_trip_554,554,3566,1,2023-09-30,1
legacy_trip_554,554,3567,2,2023-10-01,2
legacy_trip_554,554,3568,3,2023-10-02,3
legacy_trip_554,554,3569,4,2023-10-03,4
legacy_trip_554,554,3570,5,2023-10-04,5
legacy_trip_554,554,3571,6,2023-10-05,6
legacy_trip_554,554,3572,7,2023-10-06,7
legacy_trip_554,554,3573,8,2023-10-07,8
legacy_trip_554,554,3574,9,2023-10-08,9
legacy_trip_554,554,3575,10,2023-10-09,10
legacy_trip_554,554,3576,11,2023-10-10,11
legacy_trip_554,554,3577,12,2023-10-11,12
legacy_trip_554,554,3578,13,2023-10-12,13
legacy_trip_554,554,3579,14,2023-10-13,14
legacy_trip_554,554,3580,15,2023-10-14,15
legacy_trip_554,554,3581,16,2023-10-15,16
legacy_trip_556,556,3598,0,2023-06-03,0
legacy_trip_556,556,3599,1,2023-06-04,1
legacy_trip_558,558,3609,0,2023-12-17,0
legacy_trip_558,558,3610,1,2023-12-18,1
legacy_trip_558,558,3611,2,2023-12-19,2
legacy_trip_558,558,3612,3,2023-12-20,3
legacy_trip_558,558,3613,4,2023-12-21,4
legacy_trip_558,558,3614,5,2023-12-22,5
legacy_trip_559,559,3615,0,2024-03-29,0
legacy_trip_559,559,3616,1,2024-03-30,1
legacy_trip_559,559,3617,2,2024-03-31,2
legacy_trip_559,559,3618,3,2024-04-01,3
legacy_trip_560,560,3619,0,2026-02-01,0
legacy_trip_560,560,3620,1,2026-02-02,1
legacy_trip_560,560,3621,2,2026-02-03,2
legacy_trip_560,560,3622,3,2026-02-04,3
legacy_trip_560,560,3623,4,2026-02-05,4
legacy_trip_560,560,3624,5,2026-02-06,5
legacy_trip_560,560,3625,6,2026-02-07,6
legacy_trip_560,560,3626,7,2026-02-08,7
legacy_trip_561,561,3634,0,2023-11-10,0
legacy_trip_561,561,3635,1,2023-11-11,1
legacy_trip_561,561,3636,2,2023-11-12,2
